Freq.	V(out)
9.99999999999994e+006	(-6.49470467526337e+000dB,1.65270106652191e+002°)
1.12201845430196e+007	(-6.56092752922950e+000dB,1.63559055408509e+002°)
1.25892541179416e+007	(-6.64264496189952e+000dB,1.61670486124704e+002°)
1.41253754462275e+007	(-6.74312561480336e+000dB,1.59593580065674e+002°)
1.58489319246110e+007	(-6.86614174287640e+000dB,1.57319635428500e+002°)
1.77827941003891e+007	(-7.01595091855696e+000dB,1.54843123803482e+002°)
1.99526231496887e+007	(-7.19722641704264e+000dB,1.52162863514943e+002°)
2.23872113856833e+007	(-7.41492204219335e+000dB,1.49283199638998e+002°)
2.51188643150956e+007	(-7.67406258907941e+000dB,1.46215021536325e+002°)
2.81838293126443e+007	(-7.97946217410587e+000dB,1.42976400654407e+002°)
3.16227766016836e+007	(-8.33538896859500e+000dB,1.39592618786656e+002°)
3.54813389233573e+007	(-8.74521336658526e+000dB,1.36095405501209e+002°)
3.98107170553494e+007	(-9.21109128077181e+000dB,1.32521324261838e+002°)
4.46683592150960e+007	(-9.73373796218967e+000dB,1.28909421941791e+002°)
5.01187233627269e+007	(-1.03123358587906e+001dB,1.25298435280044e+002°)
5.62341325190345e+007	(-1.09445939634546e+001dB,1.21723964443456e+002°)
6.30957344480189e+007	(-1.16269438727714e+001dB,1.18216030244231e+002°)
7.07945784384133e+007	(-1.23548304898792e+001dB,1.14797324555137e+002°)
7.94328234724275e+007	(-1.31230415806142e+001dB,1.11482287212362e+002°)
8.91250938133739e+007	(-1.39260224364722e+001dB,1.08276962812535e+002°)
9.99999999999992e+007	(-1.47581356224612e+001dB,1.05179460881365e+002°)
1.12201845430195e+008	(-1.56138441244454e+001dB,1.02180784847204e+002°)
1.25892541179416e+008	(-1.64878128503817e+001dB,9.92658004557447e+001°)
1.41253754462274e+008	(-1.73749348913028e+001dB,9.64141571918795e+001°)
1.58489319246110e+008	(-1.82702946313590e+001dB,9.36010307798673e+001°)
1.77827941003891e+008	(-1.91690809488653e+001dB,9.07976021243213e+001°)
1.99526231496886e+008	(-2.00664622433005e+001dB,8.79712176134976e+001°)
2.23872113856832e+008	(-2.09574326695721e+001dB,8.50851852402108e+001°)
2.51188643150956e+008	(-2.18366372052407e+001dB,8.20981482112254e+001°)
2.81838293126443e+008	(-2.26981833842686e+001dB,7.89629429162021e+001°)
3.16227766016835e+008	(-2.35354513505237e+001dB,7.56247849409669e+001°)
3.54813389233572e+008	(-2.43409242401223e+001dB,7.20185277243778e+001°)
3.98107170553494e+008	(-2.51060835384309e+001dB,6.80645857605313e+001°)
4.46683592150959e+008	(-2.58214610693820e+001dB,6.36628942402596e+001°)
5.01187233627268e+008	(-2.64770360604793e+001dB,5.86839922366611e+001°)
5.62341325190344e+008	(-2.70633649242456e+001dB,5.29560820256889e+001°)
6.30957344480188e+008	(-2.75742338930429e+001dB,4.62472568617250e+001°)
7.07945784384132e+008	(-2.80123787541722e+001dB,3.82448342380638e+001°)
7.94328234724274e+008	(-2.84009067256265e+001dB,2.85443110835824e+001°)
8.91250938133737e+008	(-2.88031137150342e+001dB,1.66907312840824e+001°)
9.99999999999991e+008	(-2.93460324532678e+001dB,2.37054464452043e+000°)
1.12201845430195e+009	(-3.02164060433894e+001dB,-1.41594131394862e+001°)
1.25892541179416e+009	(-3.15751167057236e+001dB,-3.16813498129241e+001°)
1.41253754462274e+009	(-3.34268196223548e+001dB,-4.84083335059841e+001°)
1.58489319246110e+009	(-3.56133753959580e+001dB,-6.30493683807924e+001°)
1.77827941003891e+009	(-3.79414355864400e+001dB,-7.52786044614041e+001°)
1.99526231496886e+009	(-4.02752486095033e+001dB,-8.53787367266812e+001°)
2.23872113856832e+009	(-4.25453790521579e+001dB,-9.37993580204334e+001°)
2.51188643150955e+009	(-4.47258856699874e+001dB,-1.00949711860966e+002°)
2.81838293126442e+009	(-4.68139622334260e+001dB,-1.07149990703152e+002°)
3.16227766016835e+009	(-4.88178980272208e+001dB,-1.12639193077277e+002°)
3.54813389233572e+009	(-5.07508285938208e+001dB,-1.17593651917381e+002°)
3.98107170553493e+009	(-5.26275860224115e+001dB,-1.22142805528331e+002°)
4.46683592150958e+009	(-5.44630624446250e+001dB,-1.26380336736588e+002°)
5.01187233627267e+009	(-5.62712894768319e+001dB,-1.30371787913310e+002°)
5.62341325190343e+009	(-5.80648627757078e+001dB,-1.34160092721537e+002°)
6.30957344480186e+009	(-5.98545575894160e+001dB,-1.37770119587508e+002°)
7.07945784384130e+009	(-6.16490895493745e+001dB,-1.41212875478632e+002°)
7.94328234724273e+009	(-6.34550213731824e+001dB,-1.44489597612060e+002°)
8.91250938133735e+009	(-6.52768220420646e+001dB,-1.47595640084607e+002°)
1.00000000000000e+010	(-6.71170672447276e+001dB,-1.50523903097931e+002°)
