time	V(out)
2.498675871994686e-007	-4.201686e-001
2.506488371994686e-007	-4.202883e-001
2.522113371994686e-007	-4.204648e-001
2.545550871994687e-007	-4.206147e-001
2.561175871994687e-007	-4.206588e-001
2.576800871994688e-007	-4.206673e-001
2.584613371994688e-007	-4.206591e-001
2.592425871994688e-007	-4.206425e-001
2.600238371994688e-007	-4.206172e-001
2.608050871994688e-007	-4.205825e-001
2.615863371994689e-007	-4.205374e-001
2.623675871994689e-007	-4.204805e-001
2.631488371994689e-007	-4.204095e-001
2.639300871994689e-007	-4.203215e-001
2.647113371994689e-007	-4.202121e-001
2.654925871994689e-007	-4.200751e-001
2.662738371994690e-007	-4.199002e-001
2.670550871994690e-007	-4.196715e-001
2.678363371994690e-007	-4.193614e-001
2.686175871994690e-007	-4.189209e-001
2.693988371994690e-007	-4.182608e-001
2.701800871994691e-007	-4.172234e-001
2.709613371994691e-007	-4.156370e-001
2.715078172807390e-007	-4.139924e-001
2.720767527180907e-007	-4.116163e-001
2.726129788362712e-007	-4.086767e-001
2.733942288362712e-007	-4.034203e-001
2.740684984260951e-007	-3.982347e-001
2.746860178593061e-007	-3.930441e-001
2.753481858155664e-007	-3.871409e-001
2.761294358155664e-007	-3.798310e-001
2.769106858155664e-007	-3.722015e-001
2.776919358155664e-007	-3.642765e-001
2.784731858155665e-007	-3.560853e-001
2.792544358155665e-007	-3.476497e-001
2.800356858155665e-007	-3.389861e-001
2.808169358155665e-007	-3.301069e-001
2.815981858155665e-007	-3.210220e-001
2.823794358155666e-007	-3.117396e-001
2.831606858155666e-007	-3.022673e-001
2.839419358155666e-007	-2.926118e-001
2.847231858155666e-007	-2.827798e-001
2.855044358155666e-007	-2.727777e-001
2.862856858155667e-007	-2.626119e-001
2.870669358155667e-007	-2.522885e-001
2.878481858155667e-007	-2.418140e-001
2.886294358155667e-007	-2.311948e-001
2.894106858155667e-007	-2.204373e-001
2.901919358155667e-007	-2.095480e-001
2.909731858155668e-007	-1.985334e-001
2.917544358155668e-007	-1.874000e-001
2.925356858155668e-007	-1.761545e-001
2.933169358155668e-007	-1.648036e-001
2.940981858155668e-007	-1.533539e-001
2.948794358155669e-007	-1.418122e-001
2.956606858155669e-007	-1.301853e-001
2.964419358155669e-007	-1.184800e-001
2.972231858155669e-007	-1.067031e-001
2.980044358155669e-007	-9.486178e-002
2.987856858155670e-007	-8.296290e-002
2.995669358155670e-007	-7.101358e-002
3.003481858155670e-007	-5.902100e-002
3.011294358155670e-007	-4.699236e-002
3.019106858155670e-007	-3.493493e-002
3.026919358155671e-007	-2.285603e-002
3.034731858155671e-007	-1.076301e-002
3.042544358155671e-007	1.336758e-003
3.050356858155671e-007	1.343589e-002
3.058169358155671e-007	2.552701e-002
3.065981858155671e-007	3.760273e-002
3.073794358155672e-007	4.965569e-002
3.081606858155672e-007	6.167854e-002
3.089419358155672e-007	7.366397e-002
3.097231858155672e-007	8.560470e-002
3.105044358155672e-007	9.749345e-002
3.112856858155673e-007	1.093230e-001
3.120669358155673e-007	1.210862e-001
3.128481858155673e-007	1.327757e-001
3.136294358155673e-007	1.443846e-001
3.144106858155673e-007	1.559056e-001
3.151919358155674e-007	1.673317e-001
3.159731858155674e-007	1.786558e-001
3.167544358155674e-007	1.898708e-001
3.175356858155674e-007	2.009697e-001
3.183169358155674e-007	2.119453e-001
3.190981858155675e-007	2.227906e-001
3.198794358155675e-007	2.334980e-001
3.206606858155675e-007	2.440599e-001
3.214419358155675e-007	2.544676e-001
3.222231858155675e-007	2.647108e-001
3.230044358155675e-007	2.747771e-001
3.237856858155676e-007	2.846511e-001
3.245669358155676e-007	2.943148e-001
3.253481858155676e-007	3.037486e-001
3.261294358155676e-007	3.129318e-001
3.269106858155676e-007	3.218423e-001
3.276919358155677e-007	3.304558e-001
3.284731858155677e-007	3.387454e-001
3.292544358155677e-007	3.466803e-001
3.300356858155677e-007	3.542227e-001
3.308169358155677e-007	3.613171e-001
3.315981858155678e-007	3.678706e-001
3.323794358155678e-007	3.737499e-001
3.331606858155678e-007	3.788392e-001
3.339419358155678e-007	3.831188e-001
3.347231858155678e-007	3.866680e-001
3.355044358155678e-007	3.896016e-001
3.362856858155679e-007	3.920265e-001
3.370669358155679e-007	3.940327e-001
3.378481858155679e-007	3.956955e-001
3.386294358155679e-007	3.970765e-001
3.394106858155679e-007	3.982263e-001
3.401919358155680e-007	3.991861e-001
3.409731858155680e-007	3.999897e-001
3.417544358155680e-007	4.006643e-001
3.425356858155680e-007	4.012323e-001
3.433169358155680e-007	4.017118e-001
3.440981858155681e-007	4.021176e-001
3.448794358155681e-007	4.024615e-001
3.464419358155681e-007	4.030012e-001
3.480044358155682e-007	4.033890e-001
3.495669358155682e-007	4.036631e-001
3.511294358155682e-007	4.038486e-001
3.526919358155683e-007	4.039620e-001
3.542544358155683e-007	4.040137e-001
3.558169358155683e-007	4.040096e-001
3.565981858155684e-007	4.039877e-001
3.573794358155684e-007	4.039528e-001
3.581606858155684e-007	4.039048e-001
3.589419358155684e-007	4.038435e-001
3.597231858155684e-007	4.037686e-001
3.605044358155685e-007	4.036795e-001
3.612856858155685e-007	4.035754e-001
3.620669358155685e-007	4.034553e-001
3.628481858155685e-007	4.033180e-001
3.636294358155685e-007	4.031616e-001
3.644106858155686e-007	4.029836e-001
3.651919358155686e-007	4.027810e-001
3.659731858155686e-007	4.025491e-001
3.667544358155686e-007	4.022810e-001
3.675356858155686e-007	4.019665e-001
3.683169358155686e-007	4.015878e-001
3.690981858155687e-007	4.011135e-001
3.698794358155687e-007	4.004836e-001
3.706606858155687e-007	3.995917e-001
3.714419358155687e-007	3.982735e-001
3.722231858155687e-007	3.963275e-001
3.730044358155688e-007	3.935717e-001
3.737856858155688e-007	3.899112e-001
3.745669358155688e-007	3.853667e-001
3.753481858155688e-007	3.800383e-001
3.761294358155688e-007	3.740441e-001
3.769106858155689e-007	3.674833e-001
3.776919358155689e-007	3.604344e-001
3.784731858155689e-007	3.529605e-001
3.792544358155689e-007	3.451128e-001
3.800356858155689e-007	3.369327e-001
3.808169358155690e-007	3.284525e-001
3.815981858155690e-007	3.196978e-001
3.823794358155690e-007	3.106895e-001
3.831606858155690e-007	3.014447e-001
3.839419358155690e-007	2.919785e-001
3.847231858155690e-007	2.823038e-001
3.855044358155691e-007	2.724325e-001
3.862856858155691e-007	2.623754e-001
3.870669358155691e-007	2.521424e-001
3.878481858155691e-007	2.417431e-001
3.886294358155691e-007	2.311862e-001
3.894106858155692e-007	2.204805e-001
3.901919358155692e-007	2.096340e-001
3.909731858155692e-007	1.986548e-001
3.917544358155692e-007	1.875507e-001
3.925356858155692e-007	1.763293e-001
3.933169358155693e-007	1.649982e-001
3.940981858155693e-007	1.535650e-001
3.948794358155693e-007	1.420369e-001
3.956606858155693e-007	1.304213e-001
3.964419358155693e-007	1.187255e-001
3.972231858155693e-007	1.069569e-001
3.980044358155694e-007	9.512283e-002
3.987856858155694e-007	8.323050e-002
3.995669358155694e-007	7.128725e-002
4.003481858155694e-007	5.930043e-002
4.011294358155694e-007	4.727736e-002
4.019106858155695e-007	3.522541e-002
4.026919358155695e-007	2.315190e-002
4.034731858155695e-007	1.106422e-002
4.042544358155695e-007	-1.030291e-003
4.050356858155695e-007	-1.312429e-002
4.058169358155696e-007	-2.521047e-002
4.065981858155696e-007	-3.728151e-002
4.073794358155696e-007	-4.933016e-002
4.081606858155696e-007	-6.134919e-002
4.089419358155696e-007	-7.333139e-002
4.097231858155697e-007	-8.526960e-002
4.105044358155697e-007	-9.715669e-002
4.112856858155697e-007	-1.089856e-001
4.120669358155697e-007	-1.207491e-001
4.128481858155697e-007	-1.324402e-001
4.136294358155697e-007	-1.440519e-001
4.144106858155698e-007	-1.555770e-001
4.151919358155698e-007	-1.670084e-001
4.159731858155698e-007	-1.783391e-001
4.167544358155698e-007	-1.895620e-001
4.175356858155698e-007	-2.006698e-001
4.183169358155699e-007	-2.116556e-001
4.190981858155699e-007	-2.225119e-001
4.198794358155699e-007	-2.332315e-001
4.206606858155699e-007	-2.438066e-001
4.214419358155699e-007	-2.542291e-001
4.222231858155700e-007	-2.644901e-001
4.230044358155700e-007	-2.745792e-001
4.237856858155700e-007	-2.844845e-001
4.245669358155700e-007	-2.941917e-001
4.253481858155700e-007	-3.036842e-001
4.261294358155701e-007	-3.129444e-001
4.269106858155701e-007	-3.219532e-001
4.276919358155701e-007	-3.306907e-001
4.284731858155701e-007	-3.391353e-001
4.292544358155701e-007	-3.472635e-001
4.300356858155701e-007	-3.550491e-001
4.308169358155702e-007	-3.624633e-001
4.315981858155702e-007	-3.694750e-001
4.323794358155702e-007	-3.760515e-001
4.331606858155702e-007	-3.821593e-001
4.339419358155702e-007	-3.877644e-001
4.347231858155703e-007	-3.928338e-001
4.355044358155703e-007	-3.973388e-001
4.362856858155703e-007	-4.012644e-001
4.370669358155703e-007	-4.046197e-001
4.378481858155703e-007	-4.074424e-001
4.386294358155704e-007	-4.097913e-001
4.394106858155704e-007	-4.117392e-001
4.401415403288086e-007	-4.132469e-001
4.409227903288086e-007	-4.145791e-001
4.417040403288086e-007	-4.156806e-001
4.424852903288086e-007	-4.165881e-001
4.432665403288086e-007	-4.173359e-001
4.440477903288087e-007	-4.179523e-001
4.448290403288087e-007	-4.184605e-001
4.456102903288087e-007	-4.188799e-001
4.471727903288087e-007	-4.195113e-001
4.487352903288088e-007	-4.199407e-001
4.502977903288088e-007	-4.202314e-001
4.518602903288088e-007	-4.204254e-001
4.542040403288089e-007	-4.205931e-001
4.557665403288089e-007	-4.206461e-001
4.573290403288090e-007	-4.206622e-001
4.581102903288090e-007	-4.206577e-001
4.588915403288090e-007	-4.206449e-001
4.596727903288090e-007	-4.206236e-001
4.604540403288091e-007	-4.205932e-001
4.612352903288091e-007	-4.205530e-001
4.620165403288091e-007	-4.205016e-001
4.627977903288091e-007	-4.204372e-001
4.635790403288091e-007	-4.203573e-001
4.643602903288091e-007	-4.202582e-001
4.651415403288092e-007	-4.201346e-001
4.659227903288092e-007	-4.199782e-001
4.667040403288092e-007	-4.197763e-001
4.674852903288092e-007	-4.195072e-001
4.682665403288092e-007	-4.191334e-001
4.690477903288093e-007	-4.185866e-001
4.698290403288093e-007	-4.177440e-001
4.706102903288093e-007	-4.164444e-001
4.712327280414706e-007	-4.149098e-001
4.717185472233733e-007	-4.132256e-001
4.722114962094052e-007	-4.109396e-001
4.728501594316495e-007	-4.071661e-001
4.736314094316495e-007	-4.016523e-001
4.742604486848269e-007	-3.966445e-001
4.749617806807631e-007	-3.906109e-001
4.756270788324164e-007	-3.845695e-001
4.764083288324164e-007	-3.771361e-001
4.771895788324164e-007	-3.693973e-001
4.779708288324164e-007	-3.613745e-001
4.787520788324164e-007	-3.530939e-001
4.795333288324165e-007	-3.445754e-001
4.803145788324165e-007	-3.358336e-001
4.810958288324165e-007	-3.268799e-001
4.818770788324165e-007	-3.177237e-001
4.826583288324165e-007	-3.083727e-001
4.834395788324165e-007	-2.988343e-001
4.842208288324166e-007	-2.891151e-001
4.850020788324166e-007	-2.792217e-001
4.857833288324166e-007	-2.691604e-001
4.865645788324166e-007	-2.589376e-001
4.873458288324166e-007	-2.485596e-001
4.881270788324167e-007	-2.380327e-001
4.889083288324167e-007	-2.273634e-001
4.896895788324167e-007	-2.165581e-001
4.904708288324167e-007	-2.056233e-001
4.912520788324167e-007	-1.945655e-001
4.920333288324168e-007	-1.833914e-001
4.928145788324168e-007	-1.721075e-001
4.935958288324168e-007	-1.607206e-001
4.943770788324168e-007	-1.492373e-001
4.951583288324168e-007	-1.376643e-001
4.959395788324169e-007	-1.260087e-001
4.967208288324169e-007	-1.142770e-001
4.975020788324169e-007	-1.024764e-001
4.982833288324169e-007	-9.061365e-002
4.990645788324169e-007	-7.869595e-002
