Freq.	V(input_impedance)
1.12201845430196e+004	(1.29754689377291e+002dB,-8.99821553805014e+001°)
1.25892541179416e+004	(1.28754689461738e+002dB,-8.99840427382678e+001°)
1.41253754462275e+004	(1.27754689528832e+002dB,-8.99857183529083e+001°)
1.58489319246110e+004	(1.26754689582145e+002dB,-8.99872044587987e+001°)
1.77827941003891e+004	(1.25754689624516e+002dB,-8.99885207756526e+001°)
1.99526231496887e+004	(1.24754689658201e+002dB,-8.99896847701887e+001°)
2.23872113856832e+004	(1.23754689684995e+002dB,-8.99907118879030e+001°)
2.51188643150956e+004	(1.22754689706324e+002dB,-8.99916157580203e+001°)
2.81838293126443e+004	(1.21754689723323e+002dB,-8.99924083743459e+001°)
3.16227766016836e+004	(1.20754689736900e+002dB,-8.99931002544152e+001°)
3.54813389233573e+004	(1.19754689747775e+002dB,-8.99937005790552e+001°)
3.98107170553494e+004	(1.18754689756529e+002dB,-8.99942173142086e+001°)
4.46683592150960e+004	(1.17754689763628e+002dB,-8.99946573166362e+001°)
5.01187233627269e+004	(1.16754689769449e+002dB,-8.99950264249025e+001°)
5.62341325190345e+004	(1.15754689774303e+002dB,-8.99953295368497e+001°)
6.30957344480188e+004	(1.14754689778448e+002dB,-8.99955706745891e+001°)
7.07945784384133e+004	(1.13754689782105e+002dB,-8.99957530378717e+001°)
7.94328234724275e+004	(1.12754689785468e+002dB,-8.99958790465476e+001°)
8.91250938133739e+004	(1.11754689788718e+002dB,-8.99959503726751e+001°)
9.99999999999992e+004	(1.10754689792026e+002dB,-8.99959679627088e+001°)
1.12201845430195e+005	(1.09754689795569e+002dB,-8.99959320500576e+001°)
1.25892541179416e+005	(1.08754689799536e+002dB,-8.99958421581826e+001°)
1.41253754462274e+005	(1.07754689804138e+002dB,-8.99956970942734e+001°)
1.58489319246110e+005	(1.06754689809619e+002dB,-8.99954949334201e+001°)
1.77827941003891e+005	(1.05754689816273e+002dB,-8.99952329930714e+001°)
1.99526231496886e+005	(1.04754689824453e+002dB,-8.99949077974383e+001°)
2.23872113856832e+005	(1.03754689834594e+002dB,-8.99945150313729e+001°)
2.51188643150956e+005	(1.02754689847238e+002dB,-8.99940494831090e+001°)
2.81838293126443e+005	(1.01754689863057e+002dB,-8.99935049751049e+001°)
3.16227766016835e+005	(1.00754689882893e+002dB,-8.99928742820717e+001°)
3.54813389233572e+005	(9.97546899078039e+001dB,-8.99921490350984e+001°)
3.98107170553494e+005	(9.87546899391150e+001dB,-8.99913196106011e+001°)
4.46683592150959e+005	(9.77546899784940e+001dB,-8.99903750026250e+001°)
5.01187233627268e+005	(9.67546900280382e+001dB,-8.99893026768022e+001°)
5.62341325190344e+005	(9.57546900903859e+001dB,-8.99880884040291e+001°)
6.30957344480187e+005	(9.47546901688573e+001dB,-8.99867160716557e+001°)
7.07945784384131e+005	(9.37546902676313e+001dB,-8.99851674696824e+001°)
7.94328234724274e+005	(9.27546903919680e+001dB,-8.99834220491257e+001°)
8.91250938133737e+005	(9.17546905484888e+001dB,-8.99814566493493e+001°)
9.99999999999990e+005	(9.07546907455290e+001dB,-8.99792451907402e+001°)
1.12201845430195e+006	(8.97546909935817e+001dB,-8.99767583286540e+001°)
1.25892541179415e+006	(8.87546913058565e+001dB,-8.99739630640375e+001°)
1.41253754462274e+006	(8.77546916989833e+001dB,-8.99708223055625e+001°)
1.58489319246110e+006	(8.67546921938974e+001dB,-8.99672943774633e+001°)
1.77827941003891e+006	(8.57546928169548e+001dB,-8.99633324665470e+001°)
1.99526231496886e+006	(8.47546936013355e+001dB,-8.99588840010438e+001°)
2.23872113856832e+006	(8.37546945888104e+001dB,-8.99538899530571e+001°)
2.51188643150955e+006	(8.27546958319662e+001dB,-8.99482840553642e+001°)
2.81838293126442e+006	(8.17546973970049e+001dB,-8.99419919221823e+001°)
3.16227766016835e+006	(8.07546993672703e+001dB,-8.99349300622430e+001°)
3.54813389233572e+006	(7.97547018476854e+001dB,-8.99270047710972e+001°)
3.98107170553493e+006	(7.87547049703401e+001dB,-8.99181108879719e+001°)
4.46683592150958e+006	(7.77547089015254e+001dB,-8.99081304007149e+001°)
5.01187233627267e+006	(7.67547138505884e+001dB,-8.98969308803603e+001°)
5.62341325190343e+006	(7.57547200810802e+001dB,-8.98843637246039e+001°)
6.30957344480186e+006	(7.47547279247897e+001dB,-8.98702621869678e+001°)
7.07945784384130e+006	(7.37547377994117e+001dB,-8.98544391656273e+001°)
7.94328234724273e+006	(7.27547502307875e+001dB,-8.98366847227331e+001°)
8.91250938133736e+006	(7.17547658809042e+001dB,-8.98167633015579e+001°)
9.99999999999989e+006	(7.07547855831415e+001dB,-8.97944106048920e+001°)
1.12201845430195e+007	(6.97548103866428e+001dB,-8.97693300937552e+001°)
1.25892541179415e+007	(6.87548416121695e+001dB,-8.97411890606638e+001°)
1.41253754462274e+007	(6.77548809224118e+001dB,-8.97096142263279e+001°)
1.58489319246110e+007	(6.67549304104937e+001dB,-8.96741868027393e+001°)
1.77827941003890e+007	(6.57549927113765e+001dB,-8.96344369590983e+001°)
1.99526231496886e+007	(6.47550711420815e+001dB,-8.95898376199158e+001°)
2.23872113856831e+007	(6.37551698781760e+001dB,-8.95397975169021e+001°)
2.51188643150955e+007	(6.27552941758885e+001dB,-8.94836534079668e+001°)
2.81838293126442e+007	(6.17554506516275e+001dB,-8.94206613678708e+001°)
3.16227766016834e+007	(6.07556476337047e+001dB,-8.93499870459681e+001°)
3.54813389233571e+007	(5.97558956048566e+001dB,-8.92706947772912e+001°)
3.98107170553493e+007	(5.87562077589191e+001dB,-8.91817354244096e+001°)
4.46683592150958e+007	(5.77566007009608e+001dB,-8.90819328196567e+001°)
5.01187233627266e+007	(5.67570953276236e+001dB,-8.89699686714449e+001°)
5.62341325190342e+007	(5.57577179337045e+001dB,-8.88443657959022e+001°)
6.30957344480186e+007	(5.47585016025663e+001dB,-8.87034695380240e+001°)
7.07945784384129e+007	(5.37594879522961e+001dB,-8.85454272579483e+001°)
7.94328234724272e+007	(5.27607293272435e+001dB,-8.83681657820746e+001°)
8.91250938133734e+007	(5.17622915463320e+001dB,-8.81693667616121e+001°)
9.99999999999987e+007	(5.07642573461141e+001dB,-8.79464399512548e+001°)
1.12201845430195e+008	(4.97667306886767e+001dB,-8.76964945298955e+001°)
1.25892541179415e+008	(4.87698421429256e+001dB,-8.74163087500145e+001°)
1.41253754462274e+008	(4.77737555929288e+001dB,-8.71022984450895e+001°)
1.58489319246109e+008	(4.67786765788523e+001dB,-8.67504852754644e+001°)
1.77827941003890e+008	(4.57848626335392e+001dB,-8.63564660931113e+001°)
1.99526231496885e+008	(4.47926360382393e+001dB,-8.59153855074526e+001°)
2.23872113856831e+008	(4.38023994787781e+001dB,-8.54219147048908e+001°)
2.51188643150955e+008	(4.28146551284145e+001dB,-8.48702408953510e+001°)
2.81838293126442e+008	(4.18300276985859e+001dB,-8.42540735226634e+001°)
3.16227766016834e+008	(4.08492919561796e+001dB,-8.35666756756606e+001°)
3.54813389233571e+008	(3.98734050637983e+001dB,-8.28009320451660e+001°)
3.98107170553492e+008	(3.89035437964345e+001dB,-8.19494682941573e+001°)
4.46683592150957e+008	(3.79411461397256e+001dB,-8.10048407065876e+001°)
5.01187233627265e+008	(3.69879558742254e+001dB,-7.99598190511188e+001°)
5.62341325190341e+008	(3.60460673759633e+001dB,-7.88077888940915e+001°)
6.30957344480185e+008	(3.51179659091166e+001dB,-7.75433006168818e+001°)
7.07945784384128e+008	(3.42065561175535e+001dB,-7.61627887708018e+001°)
7.94328234724270e+008	(3.33151683769978e+001dB,-7.46654738685175e+001°)
8.91250938133733e+008	(3.24475296028633e+001dB,-7.30544354714405e+001°)
9.99999999999986e+008	(3.16076829413489e+001dB,-7.13378073433929e+001°)
1.12201845430195e+009	(3.07998409567874e+001dB,-6.95299922834939e+001°)
1.25892541179415e+009	(3.00281612667291e+001dB,-6.76527319579047e+001°)
1.41253754462273e+009	(2.92964435903487e+001dB,-6.57358106345653e+001°)
1.58489319246109e+009	(2.86077630101166e+001dB,-6.38171452285114e+001°)
1.77827941003890e+009	(2.79640734606783e+001dB,-6.19420442455517e+001°)
1.99526231496885e+009	(2.73658326054085e+001dB,-6.01615210173115e+001°)
2.23872113856831e+009	(2.68117072729734e+001dB,-5.85297115366301e+001°)
