time	V(out)
0.000000000000000e+000	4.500719e-016
9.999999824516700e-015	1.031482e-006
1.999999964903340e-014	1.375309e-006
3.999999929806680e-014	1.115765e-006
7.999999859613360e-014	5.134173e-007
1.599999971922672e-013	4.660727e-007
3.199999943845344e-013	5.392143e-007
6.399999887690688e-013	1.080634e-007
1.279999977538138e-012	-6.658385e-008
2.559999955076275e-012	6.075979e-009
5.119999910152551e-012	3.658156e-008
1.023999982030510e-011	4.160420e-008
2.047999964061020e-011	2.067644e-007
3.061094946829494e-011	5.605715e-007
4.315335994851596e-011	1.293418e-006
5.576100477591675e-011	2.476734e-006
7.940437529687224e-011	5.811058e-006
1.118795667783234e-010	1.195045e-005
1.473050819900155e-010	1.977364e-005
1.850841345347297e-010	2.773558e-005
2.219498371540338e-010	3.288916e-005
2.602547244915938e-010	3.306575e-005
2.972256191440114e-010	2.581993e-005
3.362684462079304e-010	8.729943e-006
3.667416301360858e-010	-1.274950e-005
3.963276944309761e-010	-4.399292e-005
4.554998230207567e-010	-1.363878e-004
5.492485329589912e-010	-3.516623e-004
6.779064443269057e-010	-7.703353e-004
8.352755982769063e-010	-1.464351e-003
1.080561414943003e-009	-2.860460e-003
1.359524954924545e-009	-4.871361e-003
1.726454039473060e-009	-8.207049e-003
2.195849461209954e-009	-1.361227e-002
3.035793054683968e-009	-2.556377e-002
3.861325234138516e-009	-3.965861e-002
4.861325234138516e-009	-5.948135e-002
5.861325234138515e-009	-8.154646e-002
6.861325234138515e-009	-1.054339e-001
7.861325234138516e-009	-1.306911e-001
8.861325234138517e-009	-1.569550e-001
9.861325234138517e-009	-1.839258e-001
1.086132523413852e-008	-2.113263e-001
1.186132523413852e-008	-2.388573e-001
1.257882496467324e-008	-2.584406e-001
1.323616784233007e-008	-2.759645e-001
1.386381420986075e-008	-2.919493e-001
1.472865855981140e-008	-3.125271e-001
1.541554422030039e-008	-3.274731e-001
1.597461606851270e-008	-3.384649e-001
1.638098106536683e-008	-3.457350e-001
1.672767614972437e-008	-3.514163e-001
1.710909539183415e-008	-3.571981e-001
1.739070009289079e-008	-3.611393e-001
1.778884407599130e-008	-3.662528e-001
1.821515310331397e-008	-3.712474e-001
1.870213387942673e-008	-3.763610e-001
1.928482320460097e-008	-3.817366e-001
2.004761850942218e-008	-3.877627e-001
2.092356715232969e-008	-3.935136e-001
2.192356715232969e-008	-3.988205e-001
2.292356715232969e-008	-4.030356e-001
2.392356715232969e-008	-4.063451e-001
2.492356715232968e-008	-4.089373e-001
2.592356715232968e-008	-4.109633e-001
2.692356715232968e-008	-4.125439e-001
2.792356715232968e-008	-4.137751e-001
2.892356715232968e-008	-4.147331e-001
2.992356715232968e-008	-4.154779e-001
3.092356715232968e-008	-4.160568e-001
3.192356715232968e-008	-4.165068e-001
3.292356715232969e-008	-4.168568e-001
3.392356715232969e-008	-4.171292e-001
3.492356715232969e-008	-4.173418e-001
3.592356715232969e-008	-4.175080e-001
3.692356715232970e-008	-4.176386e-001
3.792356715232970e-008	-4.177415e-001
3.892356715232970e-008	-4.178233e-001
3.992356715232970e-008	-4.178887e-001
4.092356715232970e-008	-4.179415e-001
4.192356715232971e-008	-4.179846e-001
4.292356715232971e-008	-4.180203e-001
4.392356715232971e-008	-4.180503e-001
4.492356715232971e-008	-4.180758e-001
4.592356715232972e-008	-4.180980e-001
4.692356715232972e-008	-4.181175e-001
4.792356715232972e-008	-4.181350e-001
4.892356715232972e-008	-4.181511e-001
4.992356715232973e-008	-4.181659e-001
5.092356715232973e-008	-4.181797e-001
5.192356715232973e-008	-4.181929e-001
5.292356715232973e-008	-4.182054e-001
5.392356715232974e-008	-4.182176e-001
5.492356715232974e-008	-4.182294e-001
5.592356715232974e-008	-4.182408e-001
5.692356715232974e-008	-4.182521e-001
5.792356715232974e-008	-4.182631e-001
5.892356715232975e-008	-4.182739e-001
5.992356715232975e-008	-4.182845e-001
6.092356715232975e-008	-4.182949e-001
6.192356715232974e-008	-4.183050e-001
6.292356715232974e-008	-4.183148e-001
6.392356715232973e-008	-4.183242e-001
6.492356715232973e-008	-4.183331e-001
6.592356715232972e-008	-4.183414e-001
6.692356715232972e-008	-4.183488e-001
6.792356715232972e-008	-4.183551e-001
6.892356715232971e-008	-4.183598e-001
6.992356715232971e-008	-4.183625e-001
7.092356715232970e-008	-4.183622e-001
7.192356715232970e-008	-4.183580e-001
7.292356715232969e-008	-4.183482e-001
7.392356715232969e-008	-4.183307e-001
7.492356715232969e-008	-4.183023e-001
7.592356715232968e-008	-4.182586e-001
7.692356715232968e-008	-4.181932e-001
7.792356715232967e-008	-4.180972e-001
7.892356715232967e-008	-4.179577e-001
7.992356715232966e-008	-4.177555e-001
8.092356715232966e-008	-4.174627e-001
8.192356715232966e-008	-4.170360e-001
8.292356715232965e-008	-4.164075e-001
8.392356715232965e-008	-4.154652e-001
8.492356715232964e-008	-4.140076e-001
8.592356715232964e-008	-4.116355e-001
8.692356715232963e-008	-4.079349e-001
8.747326166927703e-008	-4.049293e-001
8.787642278986645e-008	-4.019076e-001
8.827284272113317e-008	-3.980660e-001
8.889596546859944e-008	-3.906114e-001
8.947760703124758e-008	-3.823336e-001
9.009529305925090e-008	-3.721533e-001
9.083561570333112e-008	-3.583816e-001
9.183561570333112e-008	-3.377615e-001
9.283561570333111e-008	-3.152844e-001
9.383561570333111e-008	-2.911732e-001
9.483561570333110e-008	-2.657415e-001
9.583561570333110e-008	-2.392392e-001
9.683561570333110e-008	-2.118675e-001
9.783561570333109e-008	-1.837905e-001
9.883561570333109e-008	-1.551438e-001
9.983561570333108e-008	-1.260407e-001
1.008356157033311e-007	-9.657808e-002
1.018356157033311e-007	-6.683997e-002
1.028356157033311e-007	-3.690086e-002
1.038356157033311e-007	-6.828332e-003
1.048356157033311e-007	2.331513e-002
1.058356157033311e-007	5.347074e-002
1.068356157033311e-007	8.358282e-002
1.078356157033311e-007	1.135982e-001
1.088356157033310e-007	1.434634e-001
1.098356157033310e-007	1.731140e-001
1.108356157033310e-007	2.024270e-001
1.118356157033310e-007	2.310495e-001
1.128356157033310e-007	2.585433e-001
1.133289401785580e-007	2.712402e-001
1.138153865463683e-007	2.826893e-001
1.143455206637898e-007	2.939170e-001
1.149749508389257e-007	3.055889e-001
1.157445651436759e-007	3.176703e-001
1.167445651436759e-007	3.305790e-001
1.177445651436759e-007	3.409852e-001
1.187445651436759e-007	3.492944e-001
1.197445651436759e-007	3.559922e-001
1.207445651436759e-007	3.614476e-001
1.217445651436759e-007	3.659388e-001
1.227445651436759e-007	3.696747e-001
1.237445651436759e-007	3.728124e-001
1.247445651436759e-007	3.754702e-001
1.257445651436759e-007	3.777377e-001
1.267445651436759e-007	3.796833e-001
1.277445651436759e-007	3.813602e-001
1.287445651436759e-007	3.828103e-001
1.297445651436759e-007	3.840677e-001
1.307445651436759e-007	3.851603e-001
1.317445651436759e-007	3.861114e-001
1.327445651436759e-007	3.869408e-001
1.337445651436759e-007	3.876648e-001
1.347445651436759e-007	3.882976e-001
1.357445651436759e-007	3.888512e-001
1.367445651436759e-007	3.893362e-001
1.377445651436759e-007	3.897614e-001
1.387445651436759e-007	3.901345e-001
1.397445651436758e-007	3.904625e-001
1.407445651436758e-007	3.907511e-001
1.417445651436758e-007	3.910054e-001
1.427445651436758e-007	3.912298e-001
1.437445651436758e-007	3.914283e-001
1.447445651436758e-007	3.916041e-001
1.457445651436758e-007	3.917601e-001
1.467445651436758e-007	3.918987e-001
1.477445651436758e-007	3.920220e-001
1.487445651436758e-007	3.921316e-001
1.497445651436758e-007	3.922291e-001
1.507445651436758e-007	3.923155e-001
1.517445651436758e-007	3.923918e-001
1.527445651436758e-007	3.924586e-001
1.537445651436758e-007	3.925164e-001
1.547445651436758e-007	3.925654e-001
1.557445651436758e-007	3.926057e-001
1.567445651436758e-007	3.926370e-001
1.577445651436758e-007	3.926590e-001
1.587445651436758e-007	3.926711e-001
1.597445651436758e-007	3.926724e-001
1.607445651436758e-007	3.926618e-001
1.617445651436758e-007	3.926379e-001
1.627445651436757e-007	3.925990e-001
1.637445651436757e-007	3.925430e-001
1.647445651436757e-007	3.924674e-001
1.657445651436757e-007	3.923696e-001
1.667445651436757e-007	3.922461e-001
1.677445651436757e-007	3.920933e-001
1.687445651436757e-007	3.919068e-001
1.697445651436757e-007	3.916817e-001
1.707445651436757e-007	3.914126e-001
1.717445651436757e-007	3.910929e-001
1.727445651436757e-007	3.907155e-001
1.737445651436757e-007	3.902724e-001
1.747445651436757e-007	3.897545e-001
1.757445651436757e-007	3.891521e-001
1.767445651436757e-007	3.884549e-001
1.777445651436757e-007	3.876520e-001
1.787445651436757e-007	3.867315e-001
1.797445651436757e-007	3.856800e-001
1.807445651436757e-007	3.844808e-001
1.817445651436757e-007	3.831124e-001
1.827445651436757e-007	3.815446e-001
1.837445651436757e-007	3.797331e-001
1.847445651436757e-007	3.776085e-001
1.857445651436756e-007	3.750538e-001
1.867445651436756e-007	3.718520e-001
1.877445651436756e-007	3.675655e-001
1.887445651436756e-007	3.613918e-001
1.897445651436756e-007	3.523295e-001
1.907445651436756e-007	3.397813e-001
1.917445651436756e-007	3.238793e-001
1.927445651436756e-007	3.051343e-001
1.937445651436756e-007	2.840549e-001
1.947445651436756e-007	2.610711e-001
1.957445651436756e-007	2.365371e-001
1.967445651436756e-007	2.107425e-001
1.977445651436756e-007	1.839240e-001
1.987445651436756e-007	1.562748e-001
1.997445651436756e-007	1.279545e-001
2.007445651436756e-007	9.909625e-002
2.017445651436756e-007	6.981328e-002
2.027445651436756e-007	4.020286e-002
2.037445651436756e-007	1.034984e-002
2.047445651436756e-007	-1.967081e-002
2.057445651436756e-007	-4.979227e-002
2.067445651436756e-007	-7.995390e-002
2.077445651436756e-007	-1.100996e-001
2.087445651436756e-007	-1.401753e-001
2.097445651436755e-007	-1.701229e-001
2.107445651436755e-007	-1.998602e-001
2.117445651436755e-007	-2.292369e-001
2.126364870221711e-007	-2.548884e-001
2.133524483014592e-007	-2.747616e-001
2.140392372774851e-007	-2.927932e-001
2.148186398307189e-007	-3.117683e-001
2.154834756519142e-007	-3.264787e-001
2.160821690804413e-007	-3.383991e-001
2.165217006982235e-007	-3.463118e-001
2.168841517964019e-007	-3.522428e-001
2.172820084029862e-007	-3.582340e-001
2.175632581836286e-007	-3.621314e-001
2.179665189812479e-007	-3.672461e-001
2.183986574260204e-007	-3.722337e-001
2.189025778849003e-007	-3.774297e-001
2.194965411446650e-007	-3.827884e-001
2.202784227506830e-007	-3.888007e-001
2.211655325660462e-007	-3.944472e-001
2.221655325660462e-007	-3.995740e-001
2.231655325660462e-007	-4.036369e-001
2.241655325660462e-007	-4.068224e-001
2.251655325660462e-007	-4.093145e-001
2.261655325660462e-007	-4.112604e-001
2.271655325660462e-007	-4.127771e-001
2.281655325660462e-007	-4.139577e-001
2.291655325660462e-007	-4.148758e-001
2.301655325660462e-007	-4.155892e-001
2.311655325660462e-007	-4.161435e-001
2.321655325660462e-007	-4.165742e-001
2.331655325660462e-007	-4.169091e-001
2.341655325660462e-007	-4.171699e-001
2.351655325660462e-007	-4.173734e-001
2.361655325660462e-007	-4.175326e-001
2.371655325660461e-007	-4.176577e-001
2.381655325660461e-007	-4.177564e-001
2.391655325660462e-007	-4.178349e-001
2.401655325660462e-007	-4.178978e-001
2.411655325660462e-007	-4.179486e-001
2.421655325660462e-007	-4.179903e-001
2.431655325660463e-007	-4.180248e-001
2.441655325660463e-007	-4.180538e-001
2.451655325660463e-007	-4.180787e-001
2.461655325660463e-007	-4.181003e-001
2.471655325660463e-007	-4.181195e-001
2.481655325660464e-007	-4.181367e-001
2.491655325660464e-007	-4.181525e-001
2.501655325660464e-007	-4.181671e-001
2.511655325660464e-007	-4.181808e-001
2.521655325660465e-007	-4.181938e-001
2.531655325660465e-007	-4.182063e-001
2.541655325660465e-007	-4.182183e-001
2.551655325660465e-007	-4.182301e-001
2.561655325660465e-007	-4.182415e-001
2.571655325660466e-007	-4.182527e-001
2.581655325660466e-007	-4.182636e-001
2.591655325660466e-007	-4.182744e-001
2.601655325660466e-007	-4.182850e-001
2.611655325660467e-007	-4.182953e-001
2.621655325660467e-007	-4.183053e-001
2.631655325660467e-007	-4.183151e-001
2.641655325660467e-007	-4.183244e-001
2.651655325660467e-007	-4.183331e-001
2.661655325660468e-007	-4.183412e-001
2.671655325660468e-007	-4.183484e-001
2.681655325660468e-007	-4.183543e-001
2.691655325660468e-007	-4.183586e-001
2.701655325660469e-007	-4.183607e-001
2.711655325660469e-007	-4.183595e-001
2.721655325660469e-007	-4.183542e-001
2.731655325660469e-007	-4.183427e-001
2.741655325660469e-007	-4.183229e-001
2.751655325660470e-007	-4.182913e-001
2.761655325660470e-007	-4.182430e-001
2.771655325660470e-007	-4.181712e-001
2.781655325660470e-007	-4.180660e-001
2.791655325660471e-007	-4.179132e-001
2.801655325660471e-007	-4.176921e-001
2.811655325660471e-007	-4.173716e-001
2.821655325660471e-007	-4.169036e-001
2.831655325660471e-007	-4.162118e-001
2.841655325660472e-007	-4.151684e-001
2.851655325660472e-007	-4.135375e-001
2.861655325660472e-007	-4.108438e-001
2.871655325660472e-007	-4.066322e-001
2.876722678335735e-007	-4.034755e-001
2.880963927386212e-007	-3.998753e-001
2.885306910798960e-007	-3.952580e-001
2.890306083587266e-007	-3.888484e-001
2.896598819638328e-007	-3.794426e-001
2.902762436794040e-007	-3.689001e-001
2.911648939148842e-007	-3.517909e-001
2.921648939148842e-007	-3.305573e-001
2.931648939148842e-007	-3.075040e-001
2.941648939148843e-007	-2.829278e-001
2.951648939148843e-007	-2.571194e-001
2.961648939148843e-007	-2.303112e-001
2.971648939148843e-007	-2.026912e-001
2.981648939148843e-007	-1.744132e-001
2.991648939148844e-007	-1.456048e-001
3.001648939148844e-007	-1.163736e-001
3.011648939148844e-007	-8.681166e-002
3.021648939148844e-007	-5.699965e-002
3.031648939148845e-007	-2.700953e-002
3.041648939148845e-007	3.092985e-003
3.051648939148845e-007	3.324671e-002
3.061648939148845e-007	6.339397e-002
3.071648939148845e-007	9.347995e-002
3.081648939148846e-007	1.234519e-001
