i1	1/d(V(G))
3.120010000000010e-004	7.247178e-003
3.130010000000011e-004	7.269158e-003
3.140010000000011e-004	7.291272e-003
3.150010000000011e-004	7.313520e-003
3.160010000000011e-004	7.335906e-003
3.170010000000012e-004	7.358428e-003
3.180010000000012e-004	7.380278e-003
3.190010000000012e-004	7.402257e-003
3.200010000000012e-004	7.424368e-003
3.210010000000013e-004	7.445785e-003
3.220010000000013e-004	7.468158e-003
3.230010000000013e-004	7.490665e-003
3.240010000000013e-004	7.512467e-003
3.250010000000014e-004	7.535242e-003
3.260010000000014e-004	7.557305e-003
3.270010000000014e-004	7.578641e-003
3.280010000000014e-004	7.600959e-003
3.290010000000015e-004	7.623408e-003
3.300010000000015e-004	7.645120e-003
3.310010000000015e-004	7.666956e-003
3.320010000000015e-004	7.688917e-003
3.330010000000016e-004	7.711004e-003
3.340010000000016e-004	7.733218e-003
3.350010000000016e-004	7.755560e-003
3.360010000000016e-004	7.778032e-003
3.370010000000017e-004	7.799728e-003
3.380010000000017e-004	7.821546e-003
3.390010000000017e-004	7.843486e-003
3.400010000000017e-004	7.865549e-003
3.410010000000017e-004	7.886810e-003
3.420010000000018e-004	7.909118e-003
3.430010000000018e-004	7.931552e-003
3.440010000000018e-004	7.953172e-003
3.450010000000018e-004	7.975857e-003
3.460010000000019e-004	7.997719e-003
3.470010000000019e-004	8.019702e-003
3.480010000000019e-004	8.041805e-003
3.490010000000019e-004	8.063062e-003
3.500010000000020e-004	8.085405e-003
3.510010000000020e-004	8.107873e-003
3.520010000000020e-004	8.129481e-003
3.530010000000020e-004	8.151204e-003
3.540010000000021e-004	8.173044e-003
3.550010000000021e-004	8.195001e-003
3.560010000000021e-004	8.217077e-003
3.570010000000021e-004	8.239271e-003
3.580010000000022e-004	8.261586e-003
3.590010000000022e-004	8.283000e-003
3.600010000000022e-004	8.304525e-003
3.610010000000022e-004	8.327195e-003
3.620010000000023e-004	8.348950e-003
3.630010000000023e-004	8.370820e-003
3.640010000000023e-004	8.392804e-003
3.650010000000023e-004	8.413850e-003
3.660010000000024e-004	8.436061e-003
3.670010000000024e-004	8.458390e-003
3.680010000000024e-004	8.480837e-003
3.690010000000024e-004	8.502327e-003
3.700010000000025e-004	8.523925e-003
3.710010000000025e-004	8.545634e-003
3.720010000000025e-004	8.567454e-003
3.730010000000025e-004	8.589385e-003
3.740010000000026e-004	8.611429e-003
3.750010000000026e-004	8.633586e-003
3.760010000000026e-004	8.654741e-003
3.770010000000026e-004	8.677122e-003
3.780010000000026e-004	8.699619e-003
3.790010000000027e-004	8.721100e-003
3.800010000000027e-004	8.742687e-003
3.810010000000027e-004	8.764381e-003
3.820010000000027e-004	8.786183e-003
3.830010000000028e-004	8.808093e-003
3.840010000000028e-004	8.828952e-003
3.850010000000028e-004	8.851077e-003
3.860010000000028e-004	8.873313e-003
3.870010000000029e-004	8.895661e-003
3.880010000000029e-004	8.918121e-003
3.890010000000029e-004	8.938314e-003
3.900010000000029e-004	8.959795e-003
3.910010000000030e-004	8.982581e-003
3.920010000000030e-004	9.004275e-003
3.930010000000030e-004	9.026075e-003
3.940010000000030e-004	9.047980e-003
3.950010000000031e-004	9.069991e-003
3.960010000000031e-004	9.092110e-003
3.970010000000031e-004	9.113099e-003
3.980010000000031e-004	9.134186e-003
3.990010000000032e-004	9.156619e-003
4.000010000000032e-004	9.177908e-003
4.010010000000032e-004	9.200557e-003
4.020010000000032e-004	9.222051e-003
4.030010000000033e-004	9.243645e-003
4.040010000000033e-004	9.265341e-003
4.050010000000033e-004	9.287139e-003
4.060010000000033e-004	9.309039e-003
4.070010000000034e-004	9.329746e-003
4.080010000000034e-004	9.351848e-003
4.090010000000034e-004	9.374056e-003
4.100010000000034e-004	9.396369e-003
