frequency	V(inoise)
1.000000000000000e+004	2.239668e-008
1.122018454301963e+004	2.037995e-008
1.258925411794167e+004	1.857830e-008
1.412537544622754e+004	1.696812e-008
1.584893192461113e+004	1.552840e-008
1.778279410038922e+004	1.424044e-008
1.995262314968879e+004	1.308759e-008
2.238721138568338e+004	1.205504e-008
2.511886431509578e+004	1.112962e-008
2.818382931264452e+004	1.029964e-008
3.162277660168377e+004	9.554712e-009
3.548133892335751e+004	8.885606e-009
3.981071705534968e+004	8.284143e-009
4.466835921509627e+004	7.743069e-009
5.011872336272717e+004	7.255955e-009
5.623413251903484e+004	6.817100e-009
6.309573444801924e+004	6.421457e-009
7.079457843841369e+004	6.064549e-009
7.943282347242803e+004	5.742410e-009
8.912509381337442e+004	5.451517e-009
9.999999999999984e+004	5.188745e-009
1.122018454301962e+005	4.951312e-009
1.258925411794165e+005	4.736740e-009
1.412537544622752e+005	4.542818e-009
1.584893192461111e+005	4.367567e-009
1.778279410038919e+005	4.209213e-009
1.995262314968875e+005	4.066162e-009
2.238721138568335e+005	3.936979e-009
2.511886431509575e+005	3.820365e-009
2.818382931264447e+005	3.715148e-009
3.162277660168372e+005	3.620265e-009
3.548133892335746e+005	3.534748e-009
3.981071705534963e+005	3.457721e-009
4.466835921509620e+005	3.388383e-009
5.011872336272710e+005	3.326008e-009
5.623413251903475e+005	3.269932e-009
6.309573444801915e+005	3.219554e-009
7.079457843841359e+005	3.174324e-009
7.943282347242791e+005	3.133745e-009
8.912509381337428e+005	3.097362e-009
9.999999999999969e+005	3.064766e-009
1.122018454301960e+006	3.035586e-009
1.258925411794163e+006	3.009486e-009
1.412537544622750e+006	2.986164e-009
1.584893192461108e+006	2.965350e-009
1.778279410038917e+006	2.946801e-009
1.995262314968873e+006	2.930304e-009
2.238721138568332e+006	2.915670e-009
2.511886431509571e+006	2.902734e-009
2.818382931264443e+006	2.891357e-009
3.162277660168367e+006	2.881421e-009
3.548133892335740e+006	2.872834e-009
3.981071705534956e+006	2.865529e-009
4.466835921509612e+006	2.859461e-009
5.011872336272702e+006	2.854618e-009
5.623413251903467e+006	2.851017e-009
6.309573444801905e+006	2.848710e-009
7.079457843841348e+006	2.847792e-009
7.943282347242779e+006	2.848406e-009
8.912509381337414e+006	2.850755e-009
9.999999999999952e+006	2.855109e-009
1.122018454301958e+007	2.861825e-009
1.258925411794161e+007	2.871361e-009
1.412537544622747e+007	2.884300e-009
1.584893192461105e+007	2.901373e-009
1.778279410038914e+007	2.923488e-009
1.995262314968870e+007	2.951764e-009
2.238721138568328e+007	2.987569e-009
2.511886431509567e+007	3.032553e-009
2.818382931264439e+007	3.088689e-009
3.000000000000000e+007	3.124615e-009
