Freq.	V(transimpedance)
1.41253754462275e+002	(1.87831598071807e+002dB,9.03940790200174e+001°)
1.58489319246111e+002	(1.86831640326942e+002dB,9.03512240292964e+001°)
1.77827941003892e+002	(1.85831673891682e+002dB,9.03130290963908e+001°)
1.99526231496887e+002	(1.84831700553287e+002dB,9.02789875354930e+001°)
2.23872113856833e+002	(1.83831721731470e+002dB,9.02486477332912e+001°)
2.51188643150957e+002	(1.82831738553972e+002dB,9.02216071680828e+001°)
2.81838293126444e+002	(1.81831751916607e+002dB,9.01975070768731e+001°)
3.16227766016837e+002	(1.80831762530954e+002dB,9.01760277006967e+001°)
3.54813389233574e+002	(1.79831770962248e+002dB,9.01568840457785e+001°)
3.98107170553496e+002	(1.78831777659475e+002dB,9.01398221047914e+001°)
4.46683592150961e+002	(1.77831782979279e+002dB,9.01246154884224e+001°)
5.01187233627270e+002	(1.76831787204954e+002dB,9.01110624228031e+001°)
5.62341325190347e+002	(1.75831790561529e+002dB,9.00989830731407e+001°)
6.30957344480191e+002	(1.74831793227754e+002dB,9.00882171581605e+001°)
7.07945784384135e+002	(1.73831795345613e+002dB,9.00786218237956e+001°)
7.94328234724278e+002	(1.72831797027889e+002dB,9.00700697479721e+001°)
8.91250938133742e+002	(1.71831798364168e+002dB,9.00624474513856e+001°)
9.99999999999995e+002	(1.70831799425613e+002dB,9.00556537918856e+001°)
1.12201845430196e+003	(1.69831800268749e+002dB,9.00495986225128e+001°)
1.25892541179416e+003	(1.68831800938476e+002dB,9.00442015953970e+001°)
1.41253754462275e+003	(1.67831801470459e+002dB,9.00393910956557e+001°)
1.58489319246111e+003	(1.66831801893028e+002dB,9.00351032911548e+001°)
1.77827941003891e+003	(1.65831802228686e+002dB,9.00312812855283e+001°)
1.99526231496887e+003	(1.64831802495309e+002dB,9.00278743632215e+001°)
2.23872113856833e+003	(1.63831802707095e+002dB,9.00248373165427e+001°)
2.51188643150957e+003	(1.62831802875323e+002dB,9.00221298457968e+001°)
2.81838293126444e+003	(1.61831803008951e+002dB,9.00197160245409e+001°)
3.16227766016836e+003	(1.60831803115095e+002dB,9.00175638228679e+001°)
3.54813389233573e+003	(1.59831803199409e+002dB,9.00156446823939e+001°)
3.98107170553495e+003	(1.58831803266381e+002dB,9.00139331373081e+001°)
4.46683592150961e+003	(1.57831803319579e+002dB,9.00124064764593e+001°)
5.01187233627269e+003	(1.56831803361835e+002dB,9.00110444419944e+001°)
5.62341325190346e+003	(1.55831803395400e+002dB,9.00098289605495e+001°)
6.30957344480189e+003	(1.54831803422062e+002dB,9.00087439034289e+001°)
7.07945784384134e+003	(1.53831803443239e+002dB,9.00077748725868e+001°)
7.94328234724277e+003	(1.52831803460060e+002dB,9.00069090095750e+001°)
8.91250938133740e+003	(1.51831803473421e+002dB,9.00061348249187e+001°)
9.99999999999994e+003	(1.50831803484033e+002dB,9.00054420456592e+001°)
1.12201845430196e+004	(1.49831803492461e+002dB,9.00048214790373e+001°)
1.25892541179416e+004	(1.48831803499155e+002dB,9.00042648905116e+001°)
1.41253754462275e+004	(1.47831803504470e+002dB,9.00037648944908e+001°)
1.58489319246110e+004	(1.46831803508689e+002dB,9.00033148563318e+001°)
1.77827941003891e+004	(1.45831803512038e+002dB,9.00029088043018e+001°)
1.99526231496887e+004	(1.44831803514694e+002dB,9.00025413503374e+001°)
2.23872113856832e+004	(1.43831803516800e+002dB,9.00022076185476e+001°)
2.51188643150956e+004	(1.42831803518466e+002dB,9.00019031805146e+001°)
2.81838293126443e+004	(1.41831803519783e+002dB,9.00016239965305e+001°)
3.16227766016836e+004	(1.40831803520820e+002dB,9.00013663619936e+001°)
3.54813389233573e+004	(1.39831803521632e+002dB,9.00011268582502e+001°)
3.98107170553494e+004	(1.38831803522262e+002dB,9.00009023072311e+001°)
4.46683592150960e+004	(1.37831803522745e+002dB,9.00006897292807e+001°)
5.01187233627269e+004	(1.36831803523105e+002dB,9.00004863036188e+001°)
5.62341325190345e+004	(1.35831803523363e+002dB,9.00002893309104e+001°)
6.30957344480188e+004	(1.34831803523531e+002dB,9.00000961974474e+001°)
7.07945784384133e+004	(1.33831803523619e+002dB,8.99999043404661e+001°)
7.94328234724275e+004	(1.32831803523631e+002dB,8.99997112141408e+001°)
8.91250938133739e+004	(1.31831803523569e+002dB,8.99995142558027e+001°)
9.99999999999992e+004	(1.30831803523428e+002dB,8.99993108519343e+001°)
1.12201845430195e+005	(1.29831803523201e+002dB,8.99990983034897e+001°)
1.25892541179416e+005	(1.28831803522876e+002dB,8.99988737900802e+001°)
1.41253754462274e+005	(1.27831803522436e+002dB,8.99986343325494e+001°)
1.58489319246110e+005	(1.26831803521857e+002dB,8.99983767534413e+001°)
1.77827941003891e+005	(1.25831803521109e+002dB,8.99980976348376e+001°)
1.99526231496886e+005	(1.24831803520152e+002dB,8.99977932730041e+001°)
2.23872113856832e+005	(1.23831803518934e+002dB,8.99974596292441e+001°)
2.51188643150956e+005	(1.22831803517392e+002dB,8.99970922763078e+001°)
2.81838293126443e+005	(1.21831803515442e+002dB,8.99966863396449e+001°)
3.16227766016835e+005	(1.20831803512980e+002dB,8.99962364327226e+001°)
3.54813389233572e+005	(1.19831803509877e+002dB,8.99957365855494e+001°)
3.98107170553494e+005	(1.18831803505966e+002dB,8.99951801654573e+001°)
4.46683592150959e+005	(1.17831803501040e+002dB,8.99945597890898e+001°)
5.01187233627268e+005	(1.16831803494835e+002dB,8.99938672244297e+001°)
5.62341325190344e+005	(1.15831803487022e+002dB,8.99930932815653e+001°)
6.30957344480187e+005	(1.14831803477185e+002dB,8.99922276907454e+001°)
7.07945784384131e+005	(1.13831803464799e+002dB,8.99912589661065e+001°)
7.94328234724274e+005	(1.12831803449205e+002dB,8.99901742532624e+001°)
8.91250938133737e+005	(1.11831803429572e+002dB,8.99889591587342e+001°)
9.99999999999990e+005	(1.10831803404856e+002dB,8.99875975589580e+001°)
1.12201845430195e+006	(1.09831803373739e+002dB,8.99860713863351e+001°)
1.25892541179415e+006	(1.08831803334565e+002dB,8.99843603894865e+001°)
1.41253754462274e+006	(1.07831803285247e+002dB,8.99824418645297e+001°)
1.58489319246110e+006	(1.06831803223160e+002dB,8.99802903538130e+001°)
1.77827941003891e+006	(1.05831803144997e+002dB,8.99778773081088e+001°)
1.99526231496886e+006	(1.04831803046594e+002dB,8.99751707077841e+001°)
2.23872113856832e+006	(1.03831802922713e+002dB,8.99721346379219e+001°)
2.51188643150955e+006	(1.02831802766756e+002dB,8.99687288117546e+001°)
2.81838293126442e+006	(1.01831802570418e+002dB,8.99649080360877e+001°)
3.16227766016835e+006	(1.00831802323242e+002dB,8.99606216116192e+001°)
3.54813389233572e+006	(9.98318020120668e+001dB,8.99558126601992e+001°)
3.98107170553493e+006	(9.88318016203200e+001dB,8.99504173701034e+001°)
4.46683592150958e+006	(9.78318011271401e+001dB,8.99443641493067e+001°)
5.01187233627267e+006	(9.68318005062633e+001dB,8.99375726755248e+001°)
5.62341325190343e+006	(9.58317997246260e+001dB,8.99299528304191e+001°)
6.30957344480186e+006	(9.48317987406030e+001dB,8.99214035038287e+001°)
7.07945784384130e+006	(9.38317975017919e+001dB,8.99118112521670e+001°)
7.94328234724273e+006	(9.28317959422217e+001dB,8.99010487931881e+001°)
8.91250938133736e+006	(9.18317939788400e+001dB,8.98889733171620e+001°)
9.99999999999989e+006	(9.08317915070904e+001dB,8.98754245920649e+001°)
1.12201845430195e+007	(8.98317883953442e+001dB,8.98602228376629e+001°)
1.25892541179415e+007	(8.88317844778915e+001dB,8.98431663403133e+001°)
1.41253754462274e+007	(8.78317795461166e+001dB,8.98240287768771e+001°)
1.58489319246110e+007	(8.68317733373889e+001dB,8.98025562122982e+001°)
1.77827941003890e+007	(8.58317655210782e+001dB,8.97784637310973e+001°)
1.99526231496886e+007	(8.48317556809491e+001dB,8.97514316582113e+001°)
2.23872113856831e+007	(8.38317432929969e+001dB,8.97211013192110e+001°)
2.51188643150955e+007	(8.28317276975466e+001dB,8.96870702838916e+001°)
2.81838293126442e+007	(8.18317080641293e+001dB,8.96488870304806e+001°)
3.16227766016834e+007	(8.08316833472661e+001dB,8.96060449601688e+001°)
3.54813389233571e+007	(7.98316522308083e+001dB,8.95579756832562e+001°)
3.98107170553493e+007	(7.88316130578724e+001dB,8.95040414888371e+001°)
4.46683592150958e+007	(7.78315637426442e+001dB,8.94435268995314e+001°)
5.01187233627266e+007	(7.68315016593634e+001dB,8.93756292012170e+001°)
5.62341325190342e+007	(7.58314235025909e+001dB,8.92994478249516e+001°)
6.30957344480186e+007	(7.48313251113376e+001dB,8.92139724442129e+001°)
7.07945784384129e+007	(7.38312012477236e+001dB,8.91180696352035e+001°)
7.94328234724272e+007	(7.28310453184333e+001dB,8.90104679312376e+001°)
8.91250938133734e+007	(7.18308490242170e+001dB,8.88897410842258e+001°)
9.99999999999987e+007	(7.08306019189082e+001dB,8.87542893271476e+001°)
1.12201845430195e+008	(6.98302908546833e+001dB,8.86023184114588e+001°)
1.25892541179415e+008	(6.88298992843582e+001dB,8.84318161731360e+001°)
1.41253754462274e+008	(6.78294063840968e+001dB,8.82405263613545e+001°)
1.58489319246109e+008	(6.68287859506541e+001dB,8.80259194459105e+001°)
1.77827941003890e+008	(6.58280050157582e+001dB,8.77851601053704e+001°)
1.99526231496885e+008	(6.48270221059496e+001dB,8.75150710904121e+001°)
2.23872113856831e+008	(6.38257850585373e+001dB,8.72120931600663e+001°)
2.51188643150955e+008	(6.28242282826328e+001dB,8.68722408085122e+001°)
2.81838293126442e+008	(6.18222693277206e+001dB,8.64910535452110e+001°)
3.16227766016834e+008	(6.08198045901645e+001dB,8.60635425733588e+001°)
3.54813389233571e+008	(5.98167039497190e+001dB,8.55841328475125e+001°)
3.98107170553492e+008	(5.88128040830380e+001dB,8.50466007036420e+001°)
4.46683592150957e+008	(5.78079001493891e+001dB,8.44440075748944e+001°)
5.01187233627265e+008	(5.68017354862740e+001dB,8.37686307756886e+001°)
5.62341325190341e+008	(5.57939888921315e+001dB,8.30118930100965e+001°)
6.30957344480185e+008	(5.47842590152850e+001dB,8.21642932076546e+001°)
7.07945784384128e+008	(5.37720453228351e+001dB,8.12153425965940e+001°)
7.94328234724270e+008	(5.27567251073183e+001dB,8.01535116901868e+001°)
8.91250938133733e+008	(5.17375260299247e+001dB,7.89661961898730e+001°)
9.99999999999986e+008	(5.07134938386657e+001dB,7.76397127851542e+001°)
1.12201845430195e+009	(4.96834551989902e+001dB,7.61593394814566e+001°)
1.25892541179415e+009	(4.86459761168275e+001dB,7.45094193060358e+001°)
1.41253754462273e+009	(4.75993173268038e+001dB,7.26735506684401e+001°)
1.58489319246109e+009	(4.65413893823361e+001dB,7.06348915016813e+001°)
1.77827941003890e+009	(4.54697121270032e+001dB,6.83766061613098e+001°)
1.99526231496885e+009	(4.43813857845643e+001dB,6.58824816545893e+001°)
2.23872113856831e+009	(4.32730839440607e+001dB,6.31377299745759e+001°)
2.51188643150954e+009	(4.21410817898507e+001dB,6.01299724812173e+001°)
2.81838293126441e+009	(4.09813351232461e+001dB,5.68503674076930e+001°)
3.16227766016833e+009	(3.97896255987558e+001dB,5.32947925720471e+001°)
3.54813389233570e+009	(3.85617833564964e+001dB,4.94649382189030e+001°)
3.98107170553491e+009	(3.72939883374955e+001dB,4.53691145601096e+001°)
4.46683592150956e+009	(3.59831358395316e+001dB,4.10225588871334e+001°)
5.01187233627265e+009	(3.46272326935773e+001dB,3.64470645024567e+001°)
5.62341325190341e+009	(3.32257732129250e+001dB,3.16698634273119e+001°)
6.30957344480184e+009	(3.17800358510999e+001dB,2.67218649207074e+001°)
